Fuel_Type,body_type,kms_driven,transmission_type,owner_No,manufacturer,model,Manufacture_year,price,Insurance Validity,Mileage,Engine,Max Power,Torque,Seats
Petrol,Hatchback,120000.0,Manual,3,Maruti,Maruti Celerio,2015,400000.0,Third Party insurance,23.1,998.0,67.04,90.0,5
Petrol,SUV,32706.0,Manual,2,Ford,Ford Ecosport,2018,811000.0,Comprehensive,17.0,1497.0,121.31,150.0,5
Petrol,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,2018,585000.0,Comprehensive,23.84,1199.0,84.0,114.0,5
Petrol,Sedan,17794.0,Manual,1,Hyundai,Hyundai Xcent,2014,462000.0,Comprehensive,19.1,1197.0,81.86,113.75,5
Diesel,SUV,60000.0,Manual,1,Maruti,Maruti SX4 S Cross,2015,790000.0,Third Party insurance,23.65,1248.0,88.5,200.0,5
Diesel,SUV,20000.0,Manual,1,Jeep,Jeep Compass,2020,1900000.0,Third Party insurance,17.1,1956.0,170.0,350.0,5
Petrol,Hatchback,37772.0,Manual,1,Datsun,Datsun GO,2017,345000.0,Comprehensive,20.63,1198.0,67.0,104.0,5
Petrol,SUV,30000.0,Automatic,1,Hyundai,Hyundai Venue,2021,1200000.0,Third Party insurance,18.15,998.0,118.35,171.6,5
Petrol,Sedan,37000.0,Automatic,1,Maruti,Maruti Ciaz,2018,960000.0,Comprehensive,20.28,1462.0,103.25,138.0,5
Petrol,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,2017,585000.0,Comprehensive,23.84,1199.0,84.0,114.0,5
Petrol,Hatchback,50000.0,Manual,1,Maruti,Maruti Baleno,2018,690000.0,Third Party insurance,21.4,1197.0,83.1,115.0,5
Petrol,Hatchback,24887.0,Automatic,1,Hyundai,Hyundai Grand i10,2019,682000.0,Third Party insurance,18.9,1197.0,81.86,113.75,5
Petrol,Hatchback,23000.0,Automatic,1,Honda,Honda Jazz,2018,825000.0,Comprehensive,18.2,1199.0,88.7,110.0,5
Petrol,Hatchback,48928.0,Automatic,1,Tata,Tata Tiago,2018,595000.0,Comprehensive,23.84,1199.0,83.83,114.0,5
Diesel,SUV,108862.0,Manual,3,Mahindra,Mahindra XUV500,2014,690000.0,Comprehensive,15.1,2179.0,140.0,330.0,7
Diesel,SUV,80000.0,Manual,1,Jeep,Jeep Compass,2018,1350000.0,Third Party insurance,17.1,1956.0,170.0,350.0,5
Diesel,Hatchback,65376.0,Manual,2,Hyundai,Hyundai i20,2014,521000.0,Comprehensive,21.27,1396.0,88.76,219.6,5
Petrol,SUV,10000.0,Manual,1,Tata,Tata Nexon,2022,1005000.0000000001,Third Party insurance,17.33,1199.0,118.35,170.0,5
Petrol,Sedan,67000.0,Manual,2,Honda,Honda City,2016,775000.0,Comprehensive,17.8,1497.0,117.3,145.0,5
Diesel,Sedan,100000.0,Automatic,3,BMW,BMW 5 Series,2011,2200000.0,Third Party insurance,18.48,1995.0,177.0,35.7,5
Petrol,Hatchback,18083.0,Manual,1,Maruti,Maruti Swift,2016,582000.0,Comprehensive,22.38,1197.0,88.5,113.0,5
Petrol,SUV,30000.0,Manual,1,Renault,Renault Duster,2020,1090000.0,Third Party insurance,16.42,1498.0,104.55,142.0,5
Petrol,Hatchback,57634.0,Manual,2,Tata,Tata Tiago,2016,457000.0,Comprehensive,23.84,1199.0,84.0,114.0,5
Petrol,Sedan,50000.0,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4900000.0,Third Party insurance,7.81,4663.0,453.26,700.0,5
Petrol,Sedan,110000.0,Manual,1,Honda,Honda City,2015,550000.0,Third Party insurance,17.4,1497.0,117.3,145.0,5
Petrol,Hatchback,23447.0,Automatic,1,Hyundai,Hyundai Santro,2018,570000.0,Comprehensive,20.3,1086.0,68.0,99.0,5
Lpg,Hatchback,30000.0,Manual,2,Hyundai,Hyundai Santro Xing,2009,220000.00000000003,Third Party insurance,13.45,1086.0,62.1,96.1,5
Petrol,Sedan,33000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,4145000.0000000005,Comprehensive,15.0,1991.0,194.4,300.0,5
Diesel,SUV,87667.0,Manual,2,Mahindra,Mahindra XUV500,2014,861000.0,Third Party,15.1,2179.0,140.0,330.0,7
Diesel,Sedan,40000.0,Automatic,2,Audi,Audi A4,2016,1785000.0000000002,Third Party insurance,17.11,1968.0,174.33,380.0,5
