Fuel_Type,body_type,kms_driven,transmission_type,owner_No,manufacturer,model,Manufacture_year,price,Insurance Validity,Mileage,Engine,Max Power,Torque,Seats
4,3,120000.0,1,3,20,142,2015,400000.0,5,23.1,998.0,67.04,90.0,5
4,8,32706.0,1,2,6,47,2018,811000.0,2,17.0,1497.0,121.31,150.0,5
4,3,11949.0,1,1,29,242,2018,585000.0,2,23.84,1199.0,84.0,114.0,5
4,9,17794.0,1,1,9,81,2014,462000.0,2,19.1,1197.0,81.86,113.75,5
1,8,60000.0,1,1,20,157,2015,790000.0,5,23.65,1248.0,88.5,200.0,5
1,8,20000.0,1,1,12,94,2020,1900000.0,5,17.1,1956.0,170.0,350.0,5
4,3,37772.0,1,1,4,34,2017,345000.0,2,20.63,1198.0,67.0,104.0,5
4,8,30000.0,0,1,9,79,2021,1200000.0,5,18.15,998.0,118.35,171.6,5
4,9,37000.0,0,1,20,144,2018,960000.0,2,20.28,1462.0,103.25,138.0,5
4,3,11949.0,1,1,29,242,2017,585000.0,2,23.84,1199.0,84.0,114.0,5
4,3,50000.0,1,1,20,139,2018,690000.0,5,21.4,1197.0,83.1,115.0,5
4,3,24887.0,0,1,9,72,2019,682000.0,5,18.9,1197.0,81.86,113.75,5
4,3,23000.0,0,1,8,61,2018,825000.0,2,18.2,1199.0,88.7,110.0,5
4,3,48928.0,0,1,29,242,2018,595000.0,2,23.84,1199.0,83.83,114.0,5
1,8,108862.0,1,3,17,131,2014,690000.0,2,15.1,2179.0,140.0,330.0,7
1,8,80000.0,1,1,12,94,2018,1350000.0,5,17.1,1956.0,170.0,350.0,5
1,3,65376.0,1,2,9,83,2014,521000.0,2,21.27,1396.0,88.76,219.6,5
4,8,10000.0,1,1,29,237,2022,1005000.0000000001,5,17.33,1199.0,118.35,170.0,5
4,9,67000.0,1,2,8,58,2016,775000.0,2,17.8,1497.0,117.3,145.0,5
1,9,100000.0,0,3,1,14,2011,2200000.0,5,18.48,1995.0,177.0,35.7,5
4,3,18083.0,1,1,20,158,2016,582000.0,2,22.38,1197.0,88.5,113.0,5
4,8,30000.0,1,1,27,208,2020,1090000.0,5,16.42,1498.0,104.55,142.0,5
4,3,57634.0,1,2,29,242,2016,457000.0,2,23.84,1199.0,84.0,114.0,5
4,9,50000.0,0,2,21,184,2016,4900000.0,5,7.81,4663.0,453.26,700.0,5
4,9,110000.0,1,1,8,58,2015,550000.0,5,17.4,1497.0,117.3,145.0,5
4,3,23447.0,0,1,9,75,2018,570000.0,2,20.3,1086.0,68.0,99.0,5
3,3,30000.0,1,2,9,76,2009,220000.00000000003,5,13.45,1086.0,62.1,96.1,5
4,9,33000.0,0,1,21,174,2017,4145000.0000000005,2,15.0,1991.0,194.4,300.0,5
1,8,87667.0,1,2,17,131,2014,861000.0,4,15.1,2179.0,140.0,330.0,7
1,9,40000.0,0,2,0,3,2016,1785000.0000000002,5,17.11,1968.0,174.33,380.0,5
1,8,79012.0,1,2,17,131,2014,802999.9999999999,2,15.1,2179.0,140.0,330.0,7
1,8,31344.0,1,1,12,94,2021,2565000.0,2,17.1,1956.0,167.67,350.0,5
4,9,50000.0,1,1,9,81,2018,674000.0,5,20.14,1197.0,81.86,113.75,5
4,3,12434.0,1,1,20,163,2015,349000.0,2,20.51,998.0,67.04,90.0,5
4,5,60000.0,1,2,20,146,2019,1050000.0,5,19.34,1462.0,103.0,138.0,7
1,9,12000.0,0,1,21,171,2019,4425000.0,2,12.6,1496.0,194.0,400.0,5
4,3,40987.0,1,2,20,163,2015,405999.99999999994,2,20.51,998.0,67.04,90.0,5
4,9,18157.0,0,1,1,14,2020,4965000.0,6,15.56,1998.0,248.08,350.0,5
1,8,120000.0,1,3,30,252,2011,1100000.0,5,11.5,2982.0,171.0,343.0,7
1,8,40000.0,0,2,27,208,2020,1100000.0,5,19.87,1461.0,108.5,245.0,5
4,3,89667.0,1,1,9,83,2016,594000.0,2,18.6,1197.0,81.83,114.7,5
1,3,120000.0,1,1,9,83,2017,710000.0,5,22.54,1396.0,88.73,219.7,5
4,3,56997.0,1,1,20,139,2017,692000.0,6,21.4,1197.0,83.1,115.0,5
4,9,120000.0,1,1,9,70,2013,650000.0,5,16.3,1797.0,147.5,177.5,5
1,9,59000.0,0,1,0,4,2015,2089999.9999999998,5,18.53,1968.0,187.74,400.0,5
4,3,18835.0,1,1,20,137,2021,411000.00000000006,6,22.05,796.0,47.33,69.0,5
1,8,120000.0,1,2,17,124,2010,650000.0,5,12.05,2179.0,120.0,290.0,7
4,3,40000.0,0,1,22,186,2016,3675000.0,2,17.33,1998.0,189.08,280.0,4
4,3,60932.0,1,1,29,242,2019,610000.0,2,23.84,1199.0,83.83,114.0,5
4,8,33539.0,0,2,13,99,2020,1675000.0,2,16.5,1353.0,138.08,242.0,5
4,3,66837.0,1,2,29,242,2018,530000.0,2,23.84,1199.0,84.0,114.0,5
4,3,60000.0,1,2,20,136,2008,250000.0,5,19.7,796.0,46.3,62.0,5
4,3,44285.0,1,1,9,83,2019,715000.0,5,18.6,1197.0,81.86,117.0,5
1,8,100000.0,0,2,21,176,2014,3500000.0,5,11.3,2987.0,254.8,619.0,7
1,8,25000.0,0,1,29,236,2021,2250000.0,2,14.08,1956.0,167.67,350.0,6
4,3,36735.0,1,1,9,72,2018,625000.0,2,18.9,1197.0,81.86,113.75,5
1,8,79000.0,0,1,0,8,2015,2695000.0,2,12.07,2967.0,241.4,550.0,7
1,8,120000.0,1,2,17,124,2010,650000.0,5,12.05,2179.0,120.0,290.0,8
4,3,10000.0,0,1,27,210,2022,550000.0,5,22.0,999.0,67.0,91.0,5
1,8,53645.0,1,1,29,237,2018,825000.0,2,21.5,1497.0,108.5,260.0,5
4,3,100000.0,1,2,9,71,2006,220000.00000000003,5,15.3,1341.0,83.0,115.0,5
4,3,53982.0,0,1,20,142,2014,428000.0,2,26.68,998.0,65.71,89.0,5
1,9,110000.0,1,1,28,221,2014,695000.0,5,21.14,1498.0,103.52,250.0,5
4,8,37741.0,1,2,6,47,2019,930000.0000000001,5,15.9,1496.0,120.69,149.0,5
4,3,17367.0,1,1,20,137,2021,455000.0,2,22.05,796.0,47.33,69.0,5
1,8,94000.0,1,1,9,68,2017,1195000.0,2,19.67,1582.0,126.2,259.9,5
1,8,33700.0,0,1,29,228,2021,2175000.0,2,14.6,1956.0,167.67,350.0,5
4,3,54601.0,1,3,20,158,2014,442000.0,2,22.38,1197.0,88.5,113.0,5
1,3,110000.0,1,1,20,158,2018,690000.0,5,28.4,1248.0,74.0,190.0,5
4,3,64000.0,1,2,20,142,2017,500000.0,4,23.1,998.0,67.04,90.0,5
1,9,40525.0,0,1,1,12,2016,3395000.0000000005,2,21.76,1995.0,188.0,400.0,5
1,9,100000.0,1,1,20,144,2015,650000.0,5,26.21,1248.0,88.5,200.0,5
4,3,44154.0,0,2,8,61,2016,537000.0,2,19.0,1199.0,88.7,110.0,5
1,5,70000.0,1,1,27,212,2016,750000.0,5,19.98,1461.0,108.5,245.0,7
4,9,79000.0,0,1,28,220,2018,1789999.9999999998,2,15.1,1798.0,178.0,250.0,5
4,3,68039.0,1,2,29,242,2017,468000.0,5,23.84,1199.0,84.0,114.0,5
4,3,60000.0,1,2,20,154,2014,420000.0,5,18.5,1197.0,85.8,114.0,5
4,3,60000.0,1,2,20,154,2014,420000.0,5,18.5,1197.0,85.8,114.0,5
4,3,10000.0,1,1,9,83,2021,919999.9999999999,5,20.0,998.0,118.36,171.62,5
